Date,Open,High,Low,Last,Close,Number of Shares,Number of Trades,Turnover,vwap
2024-01-02,306.4686,307.92596,304.72917,306.8447,306.8447,1644183,4528,503605772,306.2953
2023-12-29,304.11802,305.48136,302.47262,302.89572,302.89572,1508893,3954,458152846,303.635
2023-12-28,307.45585,307.45585,303.88297,304.11802,304.11802,1405363,4359,428361585,304.8047
2023-12-27,308.63114,310.41758,306.4686,308.44309,308.44309,1700433,4259,524986510,308.7368
2023-12-22,305.85745,307.64389,304.68216,305.57538,305.57538,1465618,3577,448537638,306.0399
2023-12-21,304.54113,307.50286,302.84871,304.8232,304.8232,2186991,6298,667134251,305.0466
2023-12-20,306.51562,309.7124,305.71642,306.23355,306.23355,2798235,5079,858933038,306.9553
2023-12-19,308.39608,308.39608,304.49412,305.01124,305.01124,2639295,7671,807705235,306.0306
2023-12-18,305.6224,313.99046,305.19929,311.63988,311.63988,3090188,8535,960373621,310.7816
2023-12-15,313.09724,314.74265,302.84871,303.6009,303.6009,7054851,10154,2163843935,306.7171
2023-12-14,313.14425,316.34104,311.12275,312.15701,312.15701,2707310,8065,847384927,312.9988
2023-12-13,307.54987,314.31954,306.23355,312.25103,312.25103,2990245,6102,933242994,312.0958
2023-12-12,312.67413,314.83667,308.39608,310.93471,310.93471,3085221,5640,961123064,311.5248
2023-12-11,315.58885,316.76414,312.29804,313.42632,313.42632,2165625,6233,679951698,313.9748
2023-12-08,313.05023,317.04621,312.81517,314.74265,314.74265,2527459,7379,795522196,314.7517
2023-12-07,309.75942,315.44782,309.00723,313.05023,313.05023,3296296,10045,1030352333,312.5788
2023-12-06,311.49885,314.31954,307.73792,309.05424,309.05424,2325502,7144,721467981,310.2417
2023-12-05,313.3323,317.98645,311.54586,312.29804,312.29804,2725231,7634,855677764,313.9835
2023-12-04,315.91794,317.28127,312.48609,313.7554,313.7554,2998136,9409,942133240,314.2396
2023-12-01,324.38002,325.46129,320.05496,322.64059,322.64059,2369302,7482,764557656,322.6931
2023-11-30,323.81588,330.86762,322.35852,327.29474,327.29474,6581189,10230,2153498514,327.2202
2023-11-29,320.61909,327.01267,319.86691,321.79438,321.79438,2712573,8980,876333772,323.0636
2023-11-28,328.14095,332.88912,328.09394,328.37601,328.37601,2336154,6828,769576460,329.4202
2023-11-27,331.05567,333.97039,328.47003,331.10268,331.10268,2017584,4876,667772179,330.9761
2023-11-24,330.96165,334.91062,330.06843,333.92338,333.92338,2176564,5533,725332242,333.2465
2023-11-23,325.22623,331.33774,325.22623,330.91463,330.91463,2275852,5693,750208457,329.6385
2023-11-22,327.29474,330.02141,319.63185,322.87565,322.87565,2748579,7934,889371813,323.5751
2023-11-21,329.73934,332.37199,326.87164,328.47003,328.47003,2036016,5802,669992985,329.0705
2023-11-20,329.5513,333.45326,328.84612,333.03016,333.03016,2787217,5142,925005274,331.8741
2023-11-17,324.19198,328.98716,322.59358,328.14095,328.14095,3063093,8714,1001380922,326.9182
2023-11-16,332.84211,333.82935,322.96967,324.00393,324.00393,2892703,7884,943159546,326.0478
2023-11-15,333.31223,334.39349,330.72659,333.97039,333.97039,2272200,8386,757302510,333.2904
2023-11-14,340.97512,342.00937,332.41901,334.95763,334.95763,3512440,8650,1179000777,335.6643
2023-11-13,344.12489,347.88582,341.63328,347.88582,347.88582,1939064,4833,671006032,346.0463
2023-11-10,339.47075,343.88984,339.42373,342.5265,342.5265,1759464,5041,601969729,342.1323
2023-11-09,334.48752,339.94086,332.27797,339.47075,339.47075,2292928,6889,773696977,337.4274
2023-11-08,337.96637,340.22293,334.58154,336.79108,336.79108,2347488,6965,791599860,337.2113
2023-11-07,346.00536,346.52249,337.16718,337.44925,337.44925,2871704,7557,976092943,339.9002
2023-11-06,343.46673,350.98859,343.46673,350.70652,350.70652,1918408,5413,669719541,349.1016
2023-11-03,353.66825,355.0786,343.04363,344.83007,344.83007,3106053,8524,1080196346,347.7713
2023-11-02,351.59974,352.30491,346.09938,352.30491,352.30491,2611830,6920,915234378,350.4188
2023-11-01,349.24916,352.72802,344.87708,352.16388,352.16388,2530357,8504,886378862,350.2979
2023-10-31,350.04835,353.52721,349.57824,352.06985,352.06985,3197112,7472,1124655116,351.7722
2023-10-30,350.70652,359.9678,349.8133,351.22364,351.22364,3521873,9381,1246394449,353.901
2023-10-27,347.88582,356.91205,347.32168,351.4587,351.4587,2532003,8123,891967288,352.2772
2023-10-26,349.29617,351.31767,342.43248,345.30018,345.30018,2669419,8292,923697288,346.0293
2023-10-25,345.7703,350.33042,345.7703,347.93283,347.93283,1425444,4352,496225975,348.1203
2023-10-24,348.77904,351.50571,346.28743,348.68502,348.68502,1984794,6530,692131284,348.7169
2023-10-23,350.00134,354.13836,348.87307,350.00134,350.00134,1725935,6191,605028761,350.5511
2023-10-20,357.00607,359.35665,353.0571,353.0571,353.0571,2432030,7322,862583945,354.6764
2023-10-19,358.22837,359.40366,352.96307,355.21963,355.21963,2892203,8603,1027413391,355.2355
2023-10-18,357.75826,359.12159,354.51446,357.75826,357.75826,2174514,6677,777014134,357.3276
2023-10-17,352.02284,357.61722,350.51847,354.18538,354.18538,2700518,9051,955904006,353.9705
2023-10-16,354.56147,358.46343,352.91606,353.4802,353.4802,3109049,9124,1103768305,355.0179
2023-10-13,344.73604,352.58698,344.73604,351.69376,351.69376,3147305,9265,1103399656,350.5855
2023-10-12,339.04764,347.36869,338.15442,346.61651,346.61651,2707441,7820,933741963,344.8798
2023-10-11,344.548,348.73203,338.34247,339.23569,339.23569,3155435,9431,1078595280,341.8214
2023-10-10,337.91936,344.45397,334.34648,344.31294,344.31294,3988539,9544,1364174421,342.0236
2023-10-09,327.90589,338.15442,327.67083,338.15442,338.15442,4135731,10670,1383946059,334.6315
2023-10-06,317.7984,321.37128,315.49483,320.10197,320.10197,2966241,8543,946753161,319.176
2023-10-05,318.73863,321.55933,315.16575,320.61909,320.61909,2339448,7093,745702302,318.7513
2023-10-04,324.56807,325.93141,318.12748,318.5976,318.5976,2607013,7128,837354750,321.1932
2023-10-03,327.20072,330.02141,324.42703,324.52106,324.52106,3409609,6330,1112352815,326.2405
2023-10-02,332.56004,335.42775,327.20072,327.20072,327.20072,2622309,5681,866320830,330.3656
2023-09-29,333.78234,335.66281,330.16245,330.16245,330.16245,3175835,6085,1053797232,331.8173
2023-09-28,334.58154,338.0604,331.05567,332.23096,332.23096,2330769,6322,778258264,333.9061
2023-09-27,326.7306,333.2182,326.54256,332.98315,332.98315,2440228,5930,808588189,331.3575
2023-09-26,326.11945,327.5298,322.64059,325.93141,325.93141,3848149,4768,1253232127,325.6714
2023-09-25,325.55531,327.20072,324.286,325.79037,325.79037,2034426,5591,662770057,325.7773
2023-09-22,327.99992,328.329,322.02944,327.1067,327.1067,3779298,8725,1231495076,325.8528
2023-09-21,329.92739,333.40625,324.56807,329.41026,329.41026,4585458,12104,1505673673,328.3583
2023-09-20,335.09867,336.22695,329.22222,334.67556,334.67556,3190925,8261,1065382549,333.8789
2023-09-19,332.93613,337.77833,331.71383,335.42775,335.42775,2714554,6835,909968104,335.2182
2023-09-18,333.73533,336.22695,332.46602,333.26521,333.26521,2233771,6162,741855673,332.1091
2023-09-15,335.56878,337.30821,332.84211,332.84211,332.84211,7363451,8051,2450390282,332.7774
2023-09-14,329.45728,335.85085,329.08118,334.72257,334.72257,3850024,9409,1285416804,333.8724
2023-09-13,327.01267,329.69233,326.3075,326.35451,326.35451,2614808,6297,856245351,327.4601
2023-09-12,325.46129,328.47003,323.29876,326.54256,326.54256,3295669,6526,1073962071,325.8707
2023-09-11,325.79037,329.36325,324.05094,327.15371,327.15371,2263384,5998,740611407,327.2142
2023-09-08,324.38002,327.5298,322.59358,325.79037,325.79037,2914523,8060,948538746,325.4524
2023-09-07,320.66611,322.21749,317.98645,321.51232,321.51232,3507265,8422,1123765497,320.4107
2023-09-06,320.76013,325.64934,320.61909,322.78163,322.78163,4101407,9180,1325177798,323.1032
2023-09-05,314.9777,323.67485,313.52034,321.0422,321.0422,2523931,6693,806327742,319.4729
2023-09-04,315.96495,317.65736,314.31954,315.72989,315.72989,1872893,5434,591564129,315.8558
2023-09-01,311.21678,317.75139,311.21678,315.40081,315.40081,3462274,9007,1091382239,315.2212
2023-08-31,308.77217,310.41758,307.59688,308.58413,308.58413,7595057,5910,2344368043,308.6702
2023-08-30,308.30206,309.14827,306.09251,307.64389,307.64389,2380704,6741,732668448,307.7529
2023-08-29,306.09251,309.33631,305.6224,306.51562,306.51562,2618887,5871,804087998,307.0342
